file,line,kind,arg,cat,expr
"Assets/DragonBound/Runtime/Presentation/HeroFormationView.cs",527,"Transform.Find","ParticalBg","运行时","var particalBg = transform.Find(""ParticalBg"");"
"Assets/DragonBound/Runtime/Presentation/PauseRuneRewardPresenter.cs",36,"Transform.Find","Bg","运行时","var background = transform.Find(""Bg"");"
"Assets/DragonBound/Runtime/Presentation/PauseRuneRewardPresenter.cs",133,"Transform.Find","ItemImg","运行时","var icon = instance.transform.Find(""ItemImg"")?.GetComponent<Image>() ??"
"Assets/DragonBound/Runtime/Presentation/TipTextController.cs",122,"Transform.Find","Text","运行时","if (label == null && transform.Find(""Text"") != null)"
"Assets/DragonBound/Runtime/Presentation/TipTextController.cs",123,"Transform.Find","Text","运行时","label = transform.Find(""Text"").GetComponent<TextMeshProUGUI>();"
"Assets/DragonBound/Runtime/Presentation/UnitInformController.cs",113,"Transform.Find","device","运行时","divider = divider != null ? divider : transform.Find(""device"")?.gameObject;"
"Assets/DragonBound/Tests/EditMode/AuthoredGreyboxUiTests.cs",26,"Transform.Find","RangeDismissSurface","测试","Assert.IsNotNull(prefab.transform.Find(""RangeDismissSurface""));"
"Assets/DragonBound/Tests/EditMode/AuthoredGreyboxUiTests.cs",27,"Transform.Find","ItemEntryButton","测试","Assert.IsNull(prefab.transform.Find(""ItemEntryButton""));"
"Assets/DragonBound/Tests/EditMode/AuthoredGreyboxUiTests.cs",28,"Transform.Find","ART_ItemLoadout","测试","Assert.IsNull(prefab.transform.Find(""ART_ItemLoadout""));"
"Assets/DragonBound/Tests/EditMode/AuthoredGreyboxUiTests.cs",29,"Transform.Find","ART_HeroWorkshop","测试","Assert.IsNull(prefab.transform.Find(""ART_HeroWorkshop""));"
"Assets/DragonBound/Tests/EditMode/AuthoredGreyboxUiTests.cs",30,"Transform.Find","ART_RuneLoadout","测试","Assert.IsNull(prefab.transform.Find(""ART_RuneLoadout""));"
"Assets/DragonBound/Tests/EditMode/AuthoredGreyboxUiTests.cs",31,"Transform.Find","Versus","测试","Assert.IsNull(prefab.transform.Find(""Versus""));"
"Assets/DragonBound/Tests/EditMode/ItemGameplayIntegrationTests.cs",287,"Transform.Find","CooldownMask","测试","var cooldownMask = first.transform.Find(""CooldownMask"").GetComponent<Image>();"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",145,"Transform.Find","ART_SoulChainOverlay","测试","var soulChainOverlay = unitCard.transform.Find(""ART_SoulChainOverlay"")?.GetComponent<Image>();"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",166,"Transform.Find","ART_EnemyAnimation/Image","测试",".Find(""ART_EnemyAnimation/Image"")"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",206,"Transform.Find","ART_UnitPortrait","测试","var portrait = instance.transform.Find(""ART_UnitPortrait"");"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",349,"Transform.Find","weapon","测试","Transform weapon = prefab.transform.Find(""weapon"");"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",736,"Transform.Find","SideLabel","测试","Assert.AreEqual(""AI"", view.AiBattlefieldView.transform.Find(""SideLabel"").GetComponent<Text>().text);"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",737,"Transform.Find","SideLabel","测试","Assert.AreEqual(""PLAYER"", view.PlayerBattlefieldView.transform.Find(""SideLabel"").GetComponent<Text>().text);"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",755,"Transform.Find","ART_PathLeft","测试","Assert.IsNotNull(battlefield.transform.Find(""ART_PathLeft""));"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",756,"Transform.Find","ART_PathRight","测试","Assert.IsNotNull(battlefield.transform.Find(""ART_PathRight""));"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",757,"Transform.Find","ART_PathTop","测试","Assert.IsNotNull(battlefield.transform.Find(""ART_PathTop""));"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",758,"Transform.Find","ART_PathBottom","测试","Assert.IsNotNull(battlefield.transform.Find(""ART_PathBottom""));"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",759,"Transform.Find","ART_Spawn","测试","Assert.IsNotNull(battlefield.transform.Find(""ART_Spawn""));"
"Assets/DragonBound/Tests/EditMode/PortraitUiPrefabTests.cs",760,"Transform.Find","ART_Hatchling","测试","Assert.IsNotNull(battlefield.transform.Find(""ART_Hatchling""));"
